popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_genre,energy_acoustic_ratio
0.0,135521,0,0.743,0.683,5,-4.607,0,0.202,0.0712,0.0,0.151,0.925,115.032,4,indie-pop,2.3475425689325107
40.0,200925,0,0.629,0.712,6,-6.812,0,0.0338,0.0642,0.0,0.352,0.294,134.937,4,r-n-b,2.478238248570678
2.0,183066,0,0.623,0.668,6,-7.282,0,0.0531,0.475,0.0,0.0862,0.823,161.948,4,pop,0.8768683177083232
0.0,182626,1,0.572,0.75,1,-5.042,0,0.0604,0.0946,0.0,0.378,0.475,144.081,4,indie-pop,2.179873614498672
63.0,239294,0,0.494,0.786,11,-4.289,1,0.284,0.165,0.0,0.783,0.594,81.175,4,hip-hop,1.7465772464348222
0.0,233733,0,0.538,0.825,0,-4.021,1,0.0478,0.0105,1.43e-05,0.0693,0.467,125.056,4,r-n-b,4.286879485057674
0.0,207266,0,0.58,0.818,5,-8.381,1,0.145,0.339,1.69e-06,0.495,0.411,103.934,4,indie-pop,1.2255040405227335
80.0,206880,0,0.746,0.754,1,-6.684,1,0.0676,0.0152,0.0,0.0486,0.746,149.882,4,pop,3.8616389791424703
0.0,213120,0,0.752,0.538,11,-13.293,1,0.0315,0.0629,8.8e-05,0.0767,0.752,123.028,4,synth-pop,2.2427719571702363
42.0,209199,0,0.764,0.903,7,-8.872,0,0.0318,0.0368,8.05e-05,0.0321,0.981,128.018,4,synth-pop,3.2144214745188204
